piastra,n_seme,timestamp,official_growth_pct,measured_growth_pct,growth_diff
1,1,25.0,-1.0165184243964407,-6.273137566211368,-5.256619141814927
1,1,50.0,5.661442891430192,2.91629814368465,-2.745144747745542
1,1,75.0,6.56501482422703,20.4811712319266,13.916156407699567
1,1,100.0,14.35832274459975,20.4811712319266,6.1228484873268485
1,1,125.0,22.603416631370894,27.725083656828524,5.121667025457629
1,2,25.0,9.950460014154283,-18.941911599063623,-28.892371613217904
1,2,50.0,16.914366595895242,-17.134969848201198,-34.04933644409644
1,2,75.0,17.622080679405503,1.0663019356162715,-16.555778743789233
1,2,100.0,30.573248407643298,3.1652067244065774,-27.40804168323672
1,2,125.0,36.30573248407642,3.1652067244065774,-33.14052575966984
1,3,25.0,26.56050955414014,-10.25029305061146,-36.8108026047516
1,3,50.0,27.659235668789815,-8.29669705489125,-35.955932723681066
1,3,75.0,31.082802547770694,11.228499288009335,-19.85430325976136
1,3,100.0,30.54140127388536,11.975225030175116,-18.566176243710245
1,3,125.0,31.098726114649683,12.703114447313293,-18.39561166733639
1,4,25.0,3.5810085836909895,-16.30078973983582,-19.88179832352681
1,4,50.0,4.747854077253208,-13.550686285805448,-18.298540363058656
1,4,75.0,12.728004291845485,6.017564514301095,-6.71043977754439
1,4,100.0,17.127145922746774,8.404395985656224,-8.72274993709055
1,4,125.0,35.850321888412026,8.404395985656224,-27.445925902755803
1,5,25.0,8.582524271844655,-12.415124976998383,-20.99764924884304
1,5,50.0,11.508090614886731,-9.362294870738639,-20.87038548562537
1,5,75.0,13.100323624595475,10.006829064790361,-3.093494559805114
1,5,100.0,14.213592233009715,10.414500956459248,-3.7990912765504667
1,5,125.0,20.737864077669897,10.414500956459248,-10.32336312121065
1,6,25.0,-2.4308681672025734,-3.280852790397496,-0.8499846231949229
1,6,50.0,3.4469453376205874,0.10968571457145922,-3.3372596230491283
1,6,75.0,19.292604501607716,19.890517897132405,0.5979133955246887
1,6,100.0,17.311897106109317,20.74353433052539,3.4316372244160718
1,6,125.0,20.604501607717037,20.74353433052539,0.1390327228083521
1,7,25.0,10.531026252983274,-10.204547689830132,-20.735573942813406
1,7,50.0,12.335918854415267,-7.965715915120473,-20.301634769535738
1,7,75.0,12.574582338902134,12.34253336821342,-0.2320489706887141
1,7,100.0,14.901551312649156,13.114822694345238,-1.7867286183039184
1,7,125.0,40.05071599045345,16.59550646908916,-23.45520952136429
1,8,25.0,2.5651634257343807,-8.736659789464603,-11.301823215198985
1,8,50.0,3.8339539373879474,-6.5233915987209805,-10.357345536108928
1,8,75.0,20.07998896703901,16.03848942898712,-4.041499538051891
1,8,100.0,18.949110467521713,21.912731934024603,2.9636214665028895
1,8,125.0,25.886084677975447,21.912731934024603,-3.9733527439508443
1,9,25.0,-19.958450808725335,-1.9071465151699947,18.05130429355534
1,9,50.0,-4.362665083840329,-1.9071465151699947,2.4555185686703345
1,9,75.0,16.79774447247365,7.0629805533331895,-9.734763919140459
1,9,100.0,23.757234010980866,7.886397047397079,-15.870836963583788
1,9,125.0,28.016026116634507,8.029014936891803,-19.9870111797427
1,10,25.0,-0.6530825496342737,-2.0470735010893484,-1.3939909514550748
1,10,50.0,3.2915360501567346,0.5415757384186951,-2.7499603117380396
1,10,75.0,19.788401253918483,21.4391329047591,1.6507316508406156
1,10,100.0,23.23667711598745,21.753968623077643,-1.4827084929098078
1,10,125.0,37.499999999999986,23.642982932988918,-13.857017067011068
2,1,25.0,5.544644206073428,-12.464906693142769,-18.009550899216197
2,1,50.0,10.620939718990787,-10.37407461507858,-20.995014334069367
2,1,75.0,14.186432995920836,9.390612146030131,-4.7958208498907045
2,1,100.0,17.02674119957697,10.535591617350997,-6.491149582225974
2,1,125.0,20.516694364707657,12.76635068133454,-7.750343683373117
2,2,25.0,9.53644451381304,-12.119125583707444,-21.65557009752048
2,2,50.0,27.75089745590761,-9.444367429787489,-37.195264885695096
2,2,75.0,27.454346808178563,9.404066663906992,-18.05028014427157
2,2,100.0,28.56250975495554,9.72832054473934,-18.8341892102162
2,2,125.0,32.152333385359775,11.0576269109732,-21.094706474386577
2,3,25.0,8.39592722416959,-31.25817726354212,-39.654104487711706
2,3,50.0,10.181939576030727,-27.868984210360853,-38.05092378639158
2,3,75.0,11.934568519445845,-10.173602298713352,-22.108170818159195
2,3,100.0,12.084793857452862,-9.814366671401164,-21.899160528854026
2,3,125.0,28.108829911533974,-9.814366671401164,-37.923196582935134
2,4,25.0,-4.863546272297613,-12.682869882747916,-7.8193236104503026
2,4,50.0,7.119987803018756,-10.091529739664502,-17.211517542683257
2,4,75.0,20.414697362402805,9.109412722403738,-11.305284639999067
2,4,100.0,20.71962189358134,11.003808839465757,-9.715813054115584
2,4,125.0,42.84189663058392,21.449896519060584,-21.392000111523334
2,5,25.0,-10.484106153397489,-14.001412634680289,-3.5173064812828
2,5,50.0,4.053659959171772,-12.642506329117333,-16.696166288289106
2,5,75.0,7.801108194808995,6.423890954182296,-1.377217240626699
2,5,100.0,22.134733158355218,7.422216180645376,-14.712516977709843
2,5,125.0,28.579760863225445,20.62244366963364,-7.9573171935918054
2,6,25.0,8.860425194770889,-4.330305184792649,-13.190730379563536
2,6,50.0,21.325762577578224,-0.07329572855384947,-21.399058306132073
2,6,75.0,16.09665918394295,20.657425416113476,4.560766232170526
2,6,100.0,19.754390598177725,21.86295021788022,2.1085596197024934
2,6,125.0,25.326818962102195,23.01196604456414,-2.3148529175380546
2,7,25.0,7.882421760748757,-19.755909930613708,-27.638331691362467
2,7,50.0,9.34483767183387,-17.444423759369002,-26.789261431202874
2,7,75.0,19.084527639660738,2.125172492525227,-16.95935514713551
2,7,100.0,24.75870137467097,2.644516882572059,-22.11418449209891
2,7,125.0,30.213512723018443,3.065643292117806,-27.147869430900638
2,8,25.0,-6.165391406709816,-11.578253965057634,-5.412862558347818
2,8,50.0,1.9864626250735855,-9.737675919503058,-11.724138544576643
2,8,75.0,17.08357857563273,10.398355535007015,-6.685223040625713
2,8,100.0,18.687463213655096,12.312933428884326,-6.37452978477077
2,8,125.0,30.488522660388483,18.053976206940884,-12.434546453447599
2,9,25.0,4.914150384843092,-13.662358784183393,-18.576509169026487
2,9,50.0,17.687981053878037,-11.307818155732727,-28.995799209610766
2,9,75.0,15.704558910597985,8.545668423363265,-7.15889048723472
2,9,100.0,18.132030787448194,9.182067118938786,-8.949963668509408
2,9,125.0,26.524570751924216,10.764318421257633,-15.760252330666583
2,10,25.0,14.979813448419888,-20.818816842885724,-35.798630291305614
2,10,50.0,15.592370875678691,20.954770261192103,5.362399385513411
2,10,75.0,12.376444382569957,20.954770261192103,8.578325878622145
2,10,100.0,18.905749686760405,20.954770261192103,2.0490205744316974
2,10,125.0,21.202840038980934,20.954770261192103,-0.24806977778883166
3,1,25.0,32.91432991684394,-17.47267824691041,-50.387008163754345
3,1,50.0,34.03596983175402,-15.489482311861108,-49.52545214361513
3,1,75.0,23.49642235544382,4.124513849026762,-19.371908506417057
3,1,100.0,36.62734480758075,4.124513849026762,-32.502830958553986
3,1,125.0,44.07271320827692,4.124513849026762,-39.94819935925016
3,2,25.0,10.486089880770406,-32.85791943910088,-43.34400931987129
3,2,50.0,25.084072149189847,-5.73495685113693,-30.81902900032678
3,2,75.0,22.928767960868235,-5.73495685113693,-28.663724812005164
3,2,100.0,27.162947110975228,-5.73495685113693,-32.89790396211216
3,2,125.0,31.870987465606838,-5.73495685113693,-37.605944316743766
3,3,25.0,-12.362897765741362,-7.214953817591632,5.14794394814973
3,3,50.0,-0.8124576844955915,-4.525395694007132,-3.7129380095115407
3,3,75.0,11.523358158429255,15.75863545714841,4.235277298719154
3,3,100.0,18.862559241706172,16.51343391004031,-2.3491253316658636
3,3,125.0,33.32430602572783,16.51343391004031,-16.81087211568752
3,4,25.0,-3.4028073160357373,-19.902564175471493,-16.499756859435756
3,4,50.0,11.512831419254224,-17.243951443003773,-28.756782862258
3,4,75.0,13.781369629944704,1.8803002671663582,-11.901069362778346
3,4,100.0,19.67956897773996,2.290663062410616,-17.388905915329346
3,4,125.0,29.008932369204583,2.9243708544107667,-26.084561514793815
3,5,25.0,15.72244897959183,-19.547364903522364,-35.269813883114196
3,5,50.0,26.122448979591837,-17.31122403238808,-43.43367301197992
3,5,75.0,35.167346938775516,1.3246286788520014,-33.842718259923515
3,5,100.0,30.155102040816324,2.0484817406271194,-28.106620300189206
3,5,125.0,46.987755102040815,3.5405877731709974,-43.44716732886982
3,6,25.0,0.28256569652444596,-19.16391114403183,-19.446476840556276
3,6,50.0,3.192992370726201,-16.58064371167453,-19.77363608240073
3,6,75.0,17.03871150042385,1.834554906385031,-15.20415659403882
3,6,100.0,17.8440237355185,2.5234262216803107,-15.320597513838191
3,6,125.0,18.64933597061317,3.929423339812278,-14.719912630800891
3,7,25.0,2.6514053897421017,-10.266438472063692,-12.917843861805794
3,7,50.0,16.41553172993335,-7.79753444165971,-24.21306617159306
3,7,75.0,19.834830483917703,12.072097558888514,-7.762732925029189
3,7,100.0,19.660967835410037,12.668132700833453,-6.992835134576584
3,7,125.0,19.74789915966388,12.668132700833453,-7.079766458830427
3,8,25.0,9.407824630841844,-16.505298411564105,-25.91312304240595
3,8,50.0,11.173694626274933,-11.354908968301741,-22.528603594576673
3,8,75.0,19.759476328208258,6.157491500220448,-13.60198482798781
3,8,100.0,29.39564621708023,8.608904657384512,-20.78674155969572
3,8,125.0,38.45334145227585,12.629114598990556,-25.824226853285296
3,9,25.0,-9.019292604501606,-8.510623889133342,0.5086687153682643
3,9,50.0,-7.909967845659166,-6.427864521795268,1.4821033238638979
3,9,75.0,43.0385852090032,13.831948497181926,-29.206636711821275
3,9,100.0,48.086816720257225,13.831948497181926,-34.2548682230753
3,9,125.0,48.520900321543394,13.848093918634158,-34.67280640290924
3,10,25.0,-7.259322274209562,-17.88169559036698,-10.622373316157418
3,10,50.0,7.670494824897202,-15.823154355207258,-23.49364918010446
3,10,75.0,9.201758117113277,3.419497112279249,-5.782261004834028
3,10,100.0,10.56288104352758,6.148073337706646,-4.414807705820935
3,10,125.0,26.896356160499074,8.311559812305884,-18.58479634819319
4,1,25.0,12.922832980972498,-14.415811785287605,-27.338644766260103
4,1,50.0,14.984143763213515,11.976570481962803,-3.0075732812507123
4,1,75.0,14.349894291754756,11.976570481962803,-2.3733238097919536
4,1,100.0,13.781712473572927,11.976570481962803,-1.8051419916101246
4,1,125.0,14.032769556025357,11.976570481962803,-2.0561990740625546
4,2,25.0,5.965484440820764,-12.033016669295533,-17.998501110116297
4,2,50.0,6.0470172577795935,-10.59069235289604,-16.637709610675635
4,2,75.0,20.64139149340943,9.9933745469135,-10.648016946495929
4,2,100.0,17.923630928115227,9.9933745469135,-7.930256381201726
4,2,125.0,17.570322054626978,10.049883521996318,-7.52043853263066
4,3,25.0,21.685061402145195,-22.843721783353292,-44.52878318549848
4,3,50.0,22.67993160267372,-16.981588344404987,-39.6615199470787
4,3,75.0,20.20830094823566,-2.0067099474587655,-22.215010895694427
4,3,100.0,26.44178454842221,8.373450594539445,-18.068333953882764
4,3,125.0,51.98196797761542,8.373450594539445,-43.60851738307598
4,4,25.0,18.56195031630921,-14.274539347580564,-32.83648966388978
4,4,50.0,29.193025767628455,-11.961707724548171,-41.154733492176625
4,4,75.0,29.60962814380496,7.139671305231297,-22.469956838573665
4,4,100.0,34.084246258293476,11.003808839465757,-23.08043741882772
4,4,125.0,50.96435735226046,21.008588332699546,-29.95576901956091
4,5,25.0,17.380158933606772,-6.7453911436891865,-24.12555007729596
4,5,50.0,18.956677774929513,-4.655904517412683,-23.612582292342196
4,5,75.0,18.482440399897467,15.786889944689818,-2.6955504552076484
4,5,100.0,16.71366316329147,16.845760501598775,0.13209733830730386
4,5,125.0,24.544988464496292,18.951392549327508,-5.593595915168784
4,6,25.0,9.405357668531058,-16.701734372566275,-26.10709204109733
4,6,50.0,11.421842802472778,-13.915303720268376,-25.337146522741154
4,6,75.0,31.571975272299092,5.183384405935717,-26.388590866363373
4,6,100.0,27.34765969973506,18.53833885050788,-8.80932084922718
4,6,125.0,29.349425964085956,18.53833885050788,-10.811087113578076
4,7,25.0,14.064310544611807,-17.16322433574261,-31.227534880354415
4,7,50.0,14.643684820393974,-14.002758086467972,-28.646442906861946
4,7,75.0,22.349362688296626,5.207602538114067,-17.14176015018256
4,7,100.0,26.10081112398609,19.957790486516707,-6.143020637469384
4,7,125.0,33.603707995364985,19.957790486516707,-13.645917508848278
4,8,25.0,1.5851393188854503,-8.911568521863797,-10.496707840749249
4,8,50.0,3.8513931888544883,-7.302408183791228,-11.153801372645717
4,8,75.0,3.739938080495351,12.756932518820738,9.016994438325387
4,8,100.0,2.0557275541795623,13.211695223058637,11.155967668879075
4,8,125.0,2.71207430340557,14.356674694379501,11.644600390973931
4,9,25.0,-6.476719944405833,-13.106687195869036,-6.629967251463203
4,9,50.0,6.059763724808894,-11.06967318931229,-17.129436914121186
4,9,75.0,6.226546212647677,8.945267604306034,2.718721391658357
4,9,100.0,13.842946490618477,12.598169207873777,-1.2447772827446997
4,9,125.0,16.71994440583739,12.598169207873777,-4.121775197963611
4,10,25.0,-0.7827260458839383,-23.190848344576303,-22.408122298692366
4,10,50.0,12.901484480431852,-20.68830801948017,-33.58979249991202
4,10,75.0,13.927125506072885,-0.9155485476453439,-14.842674053718229
4,10,100.0,13.454790823211876,0.567139322384731,-12.887651500827145
4,10,125.0,18.56950067476384,4.431276856619191,-14.138223818144649
5,1,25.0,12.318208260616634,-14.74813837684607,-27.066346637462704
5,1,50.0,27.457824316463054,-12.38552503766929,-39.84334935413234
5,1,75.0,27.821407795229774,7.287671001876767,-20.533736793353007
5,1,100.0,26.628853984874905,8.050542165494782,-18.578311819380122
5,1,125.0,31.719022687609055,8.050542165494782,-23.668480522114272
5,2,25.0,13.225123500352865,-15.745118151521464,-28.97024165187433
5,2,50.0,24.149611856033875,-12.342470580463335,-36.49208243649721
5,2,75.0,23.76852505292873,6.758908449316133,-17.0096166036126
5,2,100.0,24.5589273112209,7.400688952042398,-17.1582383591785
5,2,125.0,27.81933662667609,8.051887617282468,-19.767449009393623
5,3,25.0,6.848618409899982,-19.785509869942803,-26.634128279842784
5,3,50.0,8.81505339888116,-17.65162333467266,-26.46667673355382
5,3,75.0,12.900491608747233,1.8372458099604032,-11.063245798786829
5,3,100.0,16.935073741312088,2.7225530862578524,-14.212520655054236
5,3,125.0,33.24292252924223,2.7225530862578524,-30.520369442984375
5,4,25.0,4.398340248962653,-28.847127660008642,-33.24546790897129
5,4,50.0,21.078838174273866,-8.58327828566839,-29.662116459942254
5,4,75.0,19.784232365145233,-8.197133622602482,-27.981365987747715
5,4,100.0,24.78008298755188,-7.72891640048772,-32.5089993880396
5,4,125.0,31.00414937759337,-7.38448074284008,-38.388630120433454
5,5,25.0,31.595466434176107,-21.954378151692787,-53.5498445858689
5,5,50.0,32.624237140366176,-19.733037250223045,-52.357274390589225
5,5,75.0,33.75762859633826,-1.0810391175307335,-34.83866771386899
5,5,100.0,37.55884917175239,0.038376769824096275,-37.520472401928295
5,5,125.0,43.01656495204881,1.056883773102469,-41.95968117894634
5,6,25.0,1.1197243755383308,-18.056604322766173,-19.176328698304502
5,6,50.0,2.4691358024691343,-15.624027490629716,-18.09316329309885
5,6,75.0,12.977318403675003,3.5136787374172753,-9.463639666257727
5,6,100.0,14.197530864197534,3.8190962932220183,-10.378434570975514
5,6,125.0,14.944013781223079,3.8190962932220183,-11.12491748800106
5,7,25.0,15.002083622725396,-10.553019702840832,-25.55510332556623
5,7,50.0,24.378385886928758,-7.98724314372345,-32.36562903065221
5,7,75.0,20.363939436032798,11.82587988174196,-8.538059554290838
5,7,100.0,26.295318794276994,12.857841402897193,-13.437477391379801
5,7,125.0,28.865120155577166,13.467331062718992,-15.397789092858174
5,8,25.0,-8.978817578248497,-23.138375724856548,-14.15955814660805
5,8,50.0,-7.350616503319632,-20.443435794121303,-13.092819290801671
5,8,75.0,22.383812835915275,-1.596347152214507,-23.98015998812978
5,8,100.0,25.592791653493528,-0.12038654112286275,-25.71317819461639
5,8,125.0,36.45273474549477,0.9734657622659312,-35.47926898322884
5,9,25.0,-16.14401858304298,-17.765986736625976,-1.6219681535829977
5,9,50.0,-8.412145345943255,-15.524464058340945,-7.112318712397689
5,9,75.0,29.052596648415456,4.311531647515129,-24.741065000900328
5,9,100.0,32.10552513688402,4.311531647515129,-27.79399348936889
5,9,125.0,47.370167579226795,4.311531647515129,-43.05863593171166
5,10,25.0,11.865312667022977,-29.55618075211921,-41.42149341914219
5,10,50.0,18.439337252805988,-26.28942381161738,-44.72876106442337
5,10,75.0,28.48743987172635,-8.38684232466622,-36.87428219639257
5,10,100.0,28.309282023873138,-7.5459349573624115,-35.85521698123555
5,10,125.0,50.89969713165865,-5.3985939042154065,-56.29829103587406
6,1,25.0,1.533742331288332,-12.912942138442238,-14.44668446973057
6,1,50.0,9.01573753000799,-11.166545718025688,-20.182283248033677
6,1,75.0,7.068551613763666,7.987305931473536,0.9187543177098698
6,1,100.0,10.682848759669232,16.76099703897455,6.078148279305319
6,1,125.0,17.457988797012522,17.947685515713687,0.4896967187011647
6,2,25.0,1.7690039738495007,-10.055202541396977,-11.824206515246477
6,2,50.0,3.4867324701961273,-8.22538811014389,-11.712120580340017
6,2,75.0,5.947955390334573,11.445117025826795,5.497161635492222
6,2,100.0,6.806819638507868,11.833952592468076,5.0271329539602085
6,2,125.0,8.99884630175618,11.833952592468076,2.835106290711897
6,3,25.0,-2.803852249177127,-11.976507694212717,-9.172655445035591
6,3,50.0,5.595513836401321,-8.996331984488021,-14.591845820889343
6,3,75.0,13.141533585273683,9.846720302055717,-3.294813283217966
6,3,100.0,12.690479093014748,10.242283127635428,-2.4481959653793197
6,3,125.0,12.166280629038162,10.66879134433192,-1.4974892847062424
6,4,25.0,22.772567409144205,-10.61491048507439,-33.38747789421859
6,4,50.0,16.55920281359908,-8.427205878296803,-24.986408691895882
6,4,75.0,20.574443141852296,11.406098923983897,-9.168344217868398
6,4,100.0,20.603751465416185,11.719589190514759,-8.884162274901426
6,4,125.0,23.153575615474814,11.769370906659143,-11.384204708815671
6,5,25.0,6.5877128053293905,-12.96406930637431,-19.5517821117037
6,5,50.0,11.576609918578843,-11.130218519758165,-22.706828438337006
6,5,75.0,21.880088823094006,7.894469758123194,-13.985619064970813
6,5,100.0,21.495188749074753,8.78515884157139,-12.710029907503364
6,5,125.0,24.233900814211704,8.78515884157139,-15.448741972640315
6,6,25.0,-10.970996216897861,-11.271490957465204,-0.30049474056734304
6,6,50.0,5.308953341740237,-9.101277223927536,-14.410230565667772
6,6,75.0,2.559899117276168,10.45486451008983,7.8949653928136625
6,6,100.0,5.359394703656998,11.149117632535855,5.789722928878857
6,6,125.0,7.604035308953344,11.149117632535855,3.545082323582511
6,7,25.0,4.445477075588607,-25.20633512253007,-29.651812198118677
6,7,50.0,13.413878562577441,-23.44782963602435,-36.86170819860179
6,7,75.0,18.757744733581163,-5.405321163153838,-24.163065896735
6,7,100.0,17.70446096654274,-5.405321163153838,-23.109782129696576
6,7,125.0,16.217472118959105,-5.277503243323658,-21.494975362282762
6,8,25.0,20.813397129186598,-13.557413544743877,-34.37081067393048
6,8,50.0,21.46730462519935,-10.384838229380069,-31.85214285457942
6,8,75.0,24.848484848484844,8.642540952076663,-16.20594389640818
6,8,100.0,36.79425837320573,9.225121576144742,-27.569136797060985
6,8,125.0,37.86283891547049,10.296101199142873,-27.566737716327616
6,9,25.0,15.346181299072095,-21.382561141926196,-36.72874244099829
6,9,50.0,15.881513204853674,-19.354965297883254,-35.23647850273693
6,9,75.0,24.464668094218418,-0.38544054329702315,-24.85010863751544
6,9,100.0,27.26623840114203,3.544624128534055,-23.721614272607972
6,9,125.0,54.389721627408996,6.056582616143992,-48.333139011265004
6,10,25.0,3.597897857431616,-19.319983551403414,-22.91788140883503
6,10,50.0,4.702870233122233,-18.173658628294863,-22.876528861417096
6,10,75.0,5.861743700309943,0.6774663689749906,-5.184277331334952
6,10,100.0,12.06036922247676,3.6684056930011764,-8.391963529475584
6,10,125.0,15.15968198356017,4.557749324661684,-10.601932658898486
